"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2016-07-05T20:05:08.141+03:00","0.0","24.6"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2016-07-05T20:05:32.792+03:00","0.0","12.85"
