"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2016-07-13T11:21:06.136+03:00","0.0","31.3"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2016-07-13T11:21:37.490+03:00","0.0","12.87"
